facility_primary_naics_code,total_co2e_from_all_sources_in_co2e_t,average_yearly_co2e_from_all_sources_in_co2e_t,total_carbon_dioxide_co2_in_co2e_t,average_yearly_carbon_dioxide_co2_in_co2e_t,total_methane_ch4_in_co2e_t,average_yearly_methane_ch4_in_co2e_t,total_nitrous_oxide_n2o_in_co2e_t,average_yearly_nitrous_oxide_n2o_in_co2e_t,total_hydrofluorocarbons_hfcs_in_co2e_t,average_yearly_hydrofluorocarbons_hfcs_in_co2e_t,latitude,longitude
221112,2520108,315013.5,2497512.3658,312189.045725,3371.1691,421.3961375,19221.111,2402.638875,0,0,43.691678,-79.610153
221320,255518,85172.66666666667,212828.5679,70942.85596666667,4479.4061,1493.1353666666666,38208.6099,12736.203300000001,0,0,43.583027,-79.55234
311919,38274,12758,38049.46,12683.153333333334,15.75,5.25,207.7,69.23333333333333,0,0,43.66438,-79.689564
324190,3621293,402365.8888888889,3594867.882,399429.7646666667,7016.2085,779.5787222222223,19404.332000000002,2156.036888888889,0,0,43.501779,-79.617605
326111,176,88,176,88,0,0,0,0,0,0,43.661992,-79.647307
326140,51616,12904,51313,12828.25,21.21,5.3025,279,69.75,0,0,43.538028,-79.71161
327310,9333678,1037075.3333333334,9297661.38,1033073.4866666667,27706.4592,3078.4954666666667,8306.543,922.9492222222223,0,0,43.490189,-79.620399
327420,229458,25495.333333333332,228117.7,25346.411111111112,94.0357,10.448411111111112,1241.615,137.9572222222222,0,0,43.489584,-79.621055
331317,58547,14636.75,58196.315,14549.07875,24.0327,6.008175,324.1019,81.025475,0,0,43.703845,-79.666334
331490,90646,22661.5,90202.48,22550.62,222.3459,55.586475,218.147,54.53675,0,0,43.604673,-79.581903
488190,540021,67502.625,535076.527,66884.565875,228.93019999999999,28.616274999999998,3233.8518,404.231475,1478.5,184.8125,43.687394,-79.621843
812320,42617,10654.25,42352.46,10588.115,17.43,4.3575,244.89999999999998,61.224999999999994,0,0,43.702233,-79.631324
